station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind,bikes outbound,outbound trips,bikes inbound,inbound trips,delta bikes,delta trips
3221,40.743,-73.93561,47 Ave & 31 St,20,23,43,active,3,13,3,7,0,-6
3222,40.68515959989177,-73.97711366415024,Hanson Pl & St Felix St,100,106,206,active,15,100,29,194,14,94
3223,40.758996559605116,-73.96865397691727,E 55 St & 3 Ave,133,137,270,active,1,8,18,142,17,134
3224,40.73997354103409,-74.00513872504234,W 13 St & Hudson St,270,266,536,active,8,65,32,286,24,221
3226,40.78275,-73.97137,W 82 St & Central Park West,72,95,167,active,21,269,5,65,-16,-204
3230,40.751283596962296,-73.99692445993422,Penn Station Valet,346,187,533,active,320,3373,4,20,-316,-3353
3231,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,58,60,118,active,1,7,9,95,8,88
3232,40.68962188790333,-73.98304268717766,Bond St & Fulton St,23,36,59,active,5,33,5,40,0,7
3233,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,204,206,410,active,0,0,12,99,12,99
3235,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,106,107,213,active,0,0,4,13,4,13
3236,40.75898481399634,-73.99379968643187,W 42 St & Dyer Ave,261,106,367,active,196,1933,10,75,-186,-1858
3237,40.75383343437622,-73.94267678260802,21 St & 41 Ave,10,11,21,active,3,15,1,4,-2,-11
3238,40.77391390238118,-73.9543953537941,E 80 St & 2 Ave,74,74,148,active,36,339,5,42,-31,-297
3241,40.686203000000006,-73.944694,Monroe St & Tompkins Ave,14,16,30,active,10,41,2,2,-8,-39
3242,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St,64,81,145,active,10,96,15,128,5,32
3243,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave,66,67,133,active,6,61,16,138,10,77
3244,40.73143724085228,-73.99490341544151,University Pl & E 8 St,130,127,257,active,5,38,12,91,7,53
3246,40.694281141397326,-73.99230033159256,Montague St & Clinton St,55,48,103,active,16,108,15,64,-1,-44
3249,40.680356084043396,-73.94767910242079,Verona Pl & Fulton St,16,20,36,active,5,16,9,36,4,20
3254,40.69231660719192,-74.01486575603484,Soissons Landing,5,6,11,active,3,5,3,5,0,0
3255,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,307,310,617,active,3,59,22,263,19,204
3256,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,184,190,374,active,1,5,20,211,19,206
3259,40.74937024193277,-73.99923384189607,9 Ave & W 28 St,0,0,0,inactive,0,0,0,0,0,0
3260,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,0,0,0,inactive,0,0,0,0,0,0
2000,40.70255088,-73.98940236,Front St & Washington St,111,107,218,active,12,71,25,168,13,97
2001,40.699773,-73.979927,Sands St & Navy St,12,11,23,active,7,22,2,8,-5,-14
2002,40.716887,-73.96319799999998,Wythe Ave & Metropolitan Ave,121,120,241,active,21,115,22,137,1,22
2003,40.73381219196632,-73.9805442094803,1 Ave & E 18 St,165,168,333,active,36,314,16,153,-20,-161
2004,40.724399,-74.004704,6 Ave & Broome St,128,128,256,active,0,0,18,143,18,143
2005,40.70531194,-73.97100056,Railroad Ave & Kay Ave,0,1,1,active,0,0,0,0,0,0
2006,40.76590936,-73.97634151,Central Park S & 6 Ave,233,233,466,active,2,20,26,262,24,242
2008,40.70569254,-74.01677685,Little West St & 1 Pl,216,220,436,active,2,22,27,271,25,249
2009,40.71117444,-73.99682619,Catherine St & Monroe St,70,80,150,active,29,279,4,51,-25,-228
2010,40.72165481,-74.00234737,Grand St & Greene St,123,120,243,active,5,73,11,92,6,19
2012,40.739445,-73.97680600000002,E 27 St & 1 Ave,157,173,330,active,3,38,13,180,10,142
2017,40.75022392,-73.97121414,E 43 St & 2 Ave,68,71,139,active,0,0,6,54,6,54
2021,40.75929124,-73.98859651,W 45 St & 8 Ave,153,156,309,active,1,13,14,160,13,147
2022,40.759107,-73.959223,E 60 St & York Ave,42,39,81,active,5,43,3,35,-2,-8
2023,40.75968085,-73.97031366,E 55 St & Lexington Ave,93,94,187,active,0,0,6,54,6,54
